path,labels,reason
dataset/nepali_dataset/happy/happy_help_20260325_022806.webm,happy,raw duration 16.02s exceeds 7.00s
dataset/nepali_dataset/happy/happy_help_20260325_065644.mp4,happy,raw duration 10.52s exceeds 7.00s
dataset/nepali_dataset/happy/happy_help_20260325_070142.webm,happy,raw duration 9.84s exceeds 7.00s
dataset/nepali_dataset/happy/happy_help_20260325_071458.webm,happy,raw duration 9.90s exceeds 7.00s
dataset/nepali_dataset/happy/happy_help_20260325_071500.webm,happy,raw duration 9.90s exceeds 7.00s
dataset/nepali_dataset/happy/happy_help_20260325_071806.webm,happy,raw duration 8.88s exceeds 7.00s
dataset/nepali_dataset/sad/sad_help_20260325_022832.webm,sad,raw duration 17.46s exceeds 7.00s
dataset/nepali_dataset/sad/sad_help_20260325_071535.webm,sad,raw duration 10.50s exceeds 7.00s
dataset/nepali_dataset/sad/sad_help_20260325_071828.webm,sad,raw duration 12.54s exceeds 7.00s
dataset/nepali_dataset/sad/sad_help_20260325_072318.webm,sad,raw duration 8.04s exceeds 7.00s
dataset/nepali_dataset/sad/sad_help_20260325_074649.webm,sad,raw duration 7.98s exceeds 7.00s
dataset/nepali_dataset/sad/sad_help_20260325_074650.webm,sad,raw duration 7.98s exceeds 7.00s
dataset/nepali_dataset/fear/fear_help_20260325_022742.webm,fear,raw duration 17.40s exceeds 7.00s
dataset/nepali_dataset/fear/fear_help_20260325_065606.mp4,fear,raw duration 8.36s exceeds 7.00s
dataset/nepali_dataset/fear/fear_help_20260325_071424.webm,fear,raw duration 9.12s exceeds 7.00s
dataset/nepali_dataset/fear/fear_help_20260325_071748.webm,fear,raw duration 10.62s exceeds 7.00s
dataset/nepali_dataset/surprise/surprise_help_20260325_022933.webm,surprise,raw duration 15.18s exceeds 7.00s
dataset/nepali_dataset/surprise/surprise_help_20260325_065717.mp4,surprise,raw duration 11.95s exceeds 7.00s
dataset/nepali_dataset/surprise/surprise_help_20260325_071553.webm,surprise,raw duration 9.60s exceeds 7.00s
dataset/nepali_dataset/surprise/surprise_help_20260325_071903.webm,surprise,raw duration 9.84s exceeds 7.00s
dataset/nepali_dataset/neutral/neutral_help_20260325_022908.webm,neutral,raw duration 17.28s exceeds 7.00s
dataset/nepali_dataset/neutral/neutral_help_20260325_071618.webm,neutral,raw duration 10.62s exceeds 7.00s
dataset/nepali_dataset/neutral/neutral_help_20260325_071846.webm,neutral,raw duration 9.78s exceeds 7.00s
dataset/nepali_dataset/neutral/neutral_help_20260325_074936.webm,neutral,raw duration 10.26s exceeds 7.00s
dataset/nepali_dataset/neutral/neutral_help_20260325_074937.webm,neutral,raw duration 10.26s exceeds 7.00s
dataset/nepali_dataset/neutral/neutral_help_20260325_074944.webm,neutral,raw duration 10.26s exceeds 7.00s
dataset/nepali_dataset/angry/angry_help_20260324_182020.webm,angry,raw duration 8.70s exceeds 7.00s
dataset/nepali_dataset/angry/angry_help_20260324_182022.webm,angry,raw duration 8.70s exceeds 7.00s
dataset/nepali_dataset/angry/angry_help_20260325_022641.webm,angry,raw duration 18.66s exceeds 7.00s
dataset/nepali_dataset/angry/angry_help_20260325_070031.mp4,angry,raw duration 7.10s exceeds 7.00s
dataset/nepali_dataset/angry/angry_help_20260325_071707.webm,angry,raw duration 7.08s exceeds 7.00s
dataset/nepali_dataset/disgust/disgust_help_20260325_022716.webm,disgust,raw duration 19.32s exceeds 7.00s
dataset/nepali_dataset/disgust/disgust_help_20260325_065539.mp4,disgust,raw duration 10.88s exceeds 7.00s
dataset/nepali_dataset/disgust/disgust_help_20260325_071641.webm,disgust,raw duration 9.54s exceeds 7.00s
dataset/nepali_dataset/disgust/disgust_help_20260325_071728.webm,disgust,raw duration 10.50s exceeds 7.00s
